label,area_frac,extent,bbox_aspect,circularity,solidity,eccentricity,radial_mean,radial_cv,radial_min_max,n_vertices
circle,0.223,0.778,0.989,1.303,1.038,0.111,0.555,0.007,0.974,0.083
cross,0.203,0.565,0.989,0.687,0.802,0.126,0.559,0.172,0.581,4.004
pentagon,0.208,0.693,0.975,1.182,1.025,0.132,0.558,0.05,0.855,5.0
square,0.226,0.65,0.989,1.11,1.02,0.125,0.56,0.092,0.765,4.0
star,0.152,0.444,0.971,0.594,0.691,0.171,0.562,0.18,0.583,5.0
triangle,0.14,0.518,0.935,0.894,1.026,0.158,0.551,0.202,0.563,3.0
